Standard Code,Standard Name,Disclosure Code,Disclosure Name,Rationale,Response Options,Data Type
9,Environmental Performance - Water Security,9.6,Do you calculate water intensity for your activities in the chemical sector?,"This metric encourages organizations with activities in the chemical sector to monitor water intensity data and improve efficiency. In addition to total water volumes, water intensity metrics provide a complementary indicator to help identify efficiencies and opportunities for the reduction in water withdrawals or consumption. Data users seek improved transparency around the calculation of such metrics to enable performance monitoring and high-level benchmarking. This question aligns with public policy goals related to water at all levels, such as the Sustainable Development Goal 6.4.1.","Select one of the following options: · Yes · No, but we intend to do so within the next two years . No, and we have no plans to do so in the next two years",Enumeration
9,Environmental Performance - Water Security,9.6.1,"For your top five products by production weight/volume, provide the following water intensity information associated with your activities in the chemical sector.","This question provides data users with information on how organizations are monitoring the water intensity of their key products and the underlying factors that determine their trend for this metric. It is acknowledged that water intensities will naturally vary according to facility-specific factors like final product obtained, cooling technology or processes used. Specifying a type of metric also helps data users to understand common practice in the industry.","Please complete the following table. You are able to add rows by using the ""Add Row"" button at the bottom of the table.",Quantitative Table
9,Environmental Performance - Water Security,9.7,Do you calculate water intensity for your electricity generation activities?,"This metric encourages organizations with electricity generation activities to monitor water intensity data and improve efficiency. Data users seek improved transparency around the calculation of such metrics to enable performance monitoring and high-level benchmarking. In addition to total water volumes, water intensity metrics provide a complementary indicator to help identify efficiencies and opportunities in water withdrawals or consumption. This aligns with public policy goals related to water at all levels, including such as the Sustainable Development Goal 6.4.1.","Select one of the following options: · Yes; · No, but we intend to do so within the next two years · No, and we have no plans to do so in the next two years",Enumeration
9,Environmental Performance - Water Security,9.7.1,Provide the following intensity information associated with your electricity generation activities.,This question provides data users with information on how organizations are monitoring their water intensity and the underlying factors that determine their trend for this metric. CDP acknowledges that water intensities will vary according to power generation source and technologies used. Specifying a type of metric also helps data users to understand common practice in the industry.,"Please complete the following table. You are able to add rows by using the ""Add Row"" button at the bottom of the table.",Quantitative Table
9,Environmental Performance - Water Security,9.8,Provide water intensity information for each of the agricultural commodities significant to your organization that you produce.,"The focus of this question is to ensure that organizations are monitoring the water intensity of their key produced commodities and that they are aware of the underlying factors that determine trends in product water intensity. It is acknowledged that water intensities will naturally vary according to local context factors like climate, soil, agricultural practices, crop varieties, or water management factors. Additionally, it may clarify how this metric is calculated including what water aspects were accounted for, how such factors may affect the metrics, or what company boundaries were used. Specifying a type of metric allows data users to understand common practice in the industry.",Please complete the following table.,Quantitative Table
9,Environmental Performance - Water Security,9.9,Provide water intensity information for each of the agricultural commodities significant to your organization that you source.,"The focus of this question is to ensure that organizations are monitoring the water intensity of their key sourced commodities and that they are aware of the underlying factors that determine their trend for this metric. It is acknowledged that water intensities will naturally vary according to local context factors like climate, soil, agricultural practices, crop varieties or water management factors. Additionally, it may clarify how this metric is calculated including what water aspects were accounted for, how such factors may affect the metrics, or what organization boundaries were used. Specifying a type of metric allows data users to understand common practice in the industry.",Please complete the following table.,Quantitative Table
9,Environmental Performance - Water Security,9.10,Do you calculate water intensity information for your metals and mining activities?,"This metric encourages organizations with activities in the metals & mining and coal sectors to monitor water intensity data and improve efficiency. Data users seek improved transparency around the calculation of such metrics to enable performance monitoring and high-level benchmarking. In addition to total water volumes, water intensity metrics provide a complementary indicator to help identify efficiencies and opportunities for the reduction of water withdrawals and consumption. This aligns with public policy goals related to water at all levels, such as the Sustainable Development Goal 6.4.1.","Select one of the following options: · Yes · No, but we intend to do so within the next two years . No, and we have no plans to do so in the next two years",Enumeration
9,Environmental Performance - Water Security,9.10.1,"For your top 5 products by revenue, provide the following intensity information associated with your metals and mining activities.","Various methods exist for calculating water intensity in the metals & mining and coal sectors, and it is acknowledged that water intensities will naturally vary according to local context factors like geology, landscape, hydrology, the mining methods used, or ore grades. Specifying a type of metric allows data users to understand common practice in the industry. This question provides them with information on how organizations determine a water intensity metric and are aware of the underlying factors that affects their trend. · Note that the question does not ask for an organization to provide water intensity data. CDP is taking a staged approach to this disclosure.","Response options; Please complete the following table. You are able to add rows by using the ""Add Row"" button at the bottom of the table.",Quantitative Table
9,Environmental Performance - Water Security,9.11,Do you calculate water intensity for your activities associated with the oil & gas sector?,"This metric encourages organizations to monitor water intensity data and improve efficiency. In addition to total water volumes, water intensity metrics provide a complementary indicator to help identify efficiencies and reduction opportunities in water withdrawals or consumption. Data users also seek improved transparency around the calculation of such metrics to enable performance monitoring and high-level benchmarking. This aligns with public policy goals at all levels, including Sustainable Development Goal 6.4.1.","Select one of the following options: · Yes . No, but we intend to do so within the next two years . No, and we have no plans to do so in the next two years",Enumeration
9,Environmental Performance - Water Security,9.11.1,Provide water intensity information associated with your activities in the oil & gas sector.,"The focus of this question is to determine which metric organizations are using to monitor their water intensity, and that they are aware of the underlying factors that determine their trend in this metric. Specifying a type of metric also allows data users to understand common practice in the industry. Various methods exist for calculating water intensity for the oil & gas sector. It is acknowledged that water intensities will naturally vary according to local context factors like geology, hydrology, or technology used.","Please complete the following table. You are able to add rows by using the ""Add Row"" button at the bottom of the table.",Quantitative Table
9,Environmental Performance - Water Security,9.12,Provide any available water intensity values for your organization's products or services.,"Methodologies for calculating and reporting water intensity are currently becoming more standardized, particularly with the development of ISO 14046. CDP supply chain members are increasingly interested in the water use of their purchased products (goods or services). In particular, they are interested in the water intensity of the goods and services they purchase that are produced in facilities exposed to water risk (where that risk is related to access to water or physical scarcity).","Please complete the following table. You are able to add rows to this table using the ""Add Row"" button at the bottom of the table.",Quantitative Table
9,Environmental Performance - Water Security,9.13,Do any of your products contain substances classified as hazardous by a regulatory authority?,Tracing and eliminating the use of hazardous substances in all sectors is pivotal in safeguarding the quality of water bodies and by extension the effects on humans and ecosystems. Keeping track of the hazardous substances present in their products allows companies to work systematically to phase out these substances.,"Please complete the following table:  
Products contain hazardous substances; Comment;  
Select from: · Yes; Text field [1,000 characters];  
· No;;  
· Unknown;;  ",Quantitative Table
9,Environmental Performance - Water Security,9.13.1,What percentage of your company's revenue is associated with products containing substances classified as hazardous by a regulatory authority?,"This question assesses whether your company monitors hazardous substances in your products, with the aim to improve the protection of human health and the environment from the risks posed by hazardous substances.","Please complete the following table. You are able to add rows by using the ""Add Row"" button at the bottom of the table.",Quantitative Table
9,Environmental Performance - Water Security,9.14,Do you classify any of your current products and/or services as low water impact?,"Reducing the water impact of products, in the production or use phase of the value chain, will hasten the transition to a water-secure future. This question informs investors and other data users on the action that companies are taking towards this. There is no common definition of what constitutes a low water impact product and/or service, so companies are asked to explain the criteria and threshold used for classifying products and/or services as low water impact.","Please complete the following table:

(*column/row appearance is dependent on selections in this or other questions)

1 | 2 | 3 | 4  
---|---|---|---  
Products and/or services classified as low water impact | Definition used to classify low water impact* | Primary reason for not classifying any of your current products and/or services as low water impact* | Please explain  
Select from: · Yes · No, but we plan to address this within the next two years | Text field [maximum 5,000 characters] | Select from: · Important but not an immediate business priority · Judged to be unimportant, explanation provided · Lack of internal resources · No instruction from management · Other, please specify | Text field [maximum 1,000 characters]  
· No, and we do not plan to address this within the next two years  ",Quantitative Table
9,Environmental Performance - Water Security,9.15,Do you have any water-related targets?,"Target setting plays a vital role in water management and assists the successful execution of corporate strategies. Setting and making progress against targets helps decouple growth from dependence on water. CDP data users wish to know about your organization's tracked, timebound, quantitative targets for achieving its water policy and commitments, improving water management, and responding to current and future water risks.","Select from:  
Yes  
No, but we plan to within the next two years  
No, and we do not plan to within the next two years",Enumeration
9,Environmental Performance - Water Security,9.15.1,"Indicate whether you have targets relating to water pollution, water withdrawals, WASH, or other water-related categories.","It is good practice for companies to set targets to reduce water withdrawals, reduce water pollution, and improve water, sanitation, and hygiene (WASH) services where these water aspects are relevant to the impact of their business activities on water security.",NaN,Boolean
9,Environmental Performance - Water Security,9.15.2,Provide details of your water-related targets and the progress made.,"Data users wish to understand whether your water-related targets are relevant to the dependencies, impacts, risks, and opportunities associated with your activities, and the progress you are making towards these targets.","Please complete the following table. The table is displayed over several rows for readability. If you have multiple targets, you are able to add rows by using the ""Add Row"" button at the bottom of the table.",Quantitative Table
9,Environmental Performance - Water Security,9.15.3,Why do you not have water-related target(s) and what are your plans to develop these in the future?,"Investors need an explanation as to why you do not have water-related targets in place, especially if your organization has a dependency on water or substantive water risks.","Please complete the following table:

· We are planning to introduce a target within the next two years  
· Important but not an immediate business priority  
· Judged to be unimportant, explanation provided  
· Lack of internal resources  
· Insufficient data on operations  
· No instruction from management  
· Other, please specify  ",Quantitative Table
10,Environmental Performance - Plastics,10.1,"Do you have plastics-related targets, and if so what type?","Organizations need to set and progress targets that address their plastics-related dependencies, impacts, risks, and opportunities. This question allows organizations to demonstrate to data users their commitment to reduce plastic usage, reduce or eliminate virgin content in plastics, eliminate problematic and unnecessary plastics, transition to reuse systems, reduce microplastic emissions, and increase circularity.","Please complete the following table:

1;2;3;
Targets in place;Target type and metric;Please explain;
Select from:;Grouped option (multi-select group; multi-select option);Text field [maximum 5,000 characters];
· Yes · No, but we plan to within the next two years · No, and we do not plan to within the next two years;from dropdown list below;",Quantitative Table
10,Environmental Performance - Plastics,10.2,Indicate whether your organization engages in the following activities.,"Different activities related to the production, commercialization, and use of plastics may result in different dependencies, impacts, risks, and opportunities. This question enables data users to contextualize the information you provide in this module.",Please complete the following table:,Quantitative Table
10,Environmental Performance - Plastics,10.3,Provide the total weight of plastic polymers sold and indicate the raw material content.,"Organizations monitoring the types and amounts of raw materials they use to produce plastic polymers are better able to understand their plastics-related dependencies, impacts, risks, and opportunities, and thus take action to increase the circularity of plastics sold.",Please complete the following table:,Quantitative Table
10,Environmental Performance - Plastics,10.4,"Provide the total weight of plastic durable goods and durable components produced, sold and/or used, and indicate the raw material content.","Organizations monitoring the amounts and contents of plastic durable goods and durable components they sell and/or use are better able to understand their plastics-related dependencies, impacts, risks, and opportunities, and increase their potential to reduce the use of virgin fossil-based content.",NaN,Quantitative Table
10,Environmental Performance - Plastics,10.5,Provide the total weight of plastic packaging sold and/or used and indicate the raw material content.,"Organizations monitoring the amounts and contents of plastic packaging that they use or sell are better able to understand their plastics-related dependencies, impacts, risks, and opportunities, and increase their potential to reduce the use of virgin fossil-based content.",NaN,Quantitative Table
10,Environmental Performance - Plastics,10.5.1,Indicate the circularity potential of the plastic packaging you sold and/or used.,Companies that monitor reusability and recyclability of their plastic packaging demonstrate a commitment to increasing the share of their packaging that has circularity potential and to tackling the plastic pollution crisis.,NaN,Quantitative
10,Environmental Performance - Plastics,10.6,"Provide the total weight of waste generated by the plastic you produce, commercialize, use and/or process and indicate the end-of-life management pathways.","For organizations that produce, commercialize, use, and/or process plastics, a crucial step in tackling plastics pollution is to understand their end-of-life management of plastics. This question allows organizations to indicate the amount of plastic waste that their organization generates, and how it is managed to drive progress in line with the waste hierarchy.",NaN,Quantitative Table
11,Environmental Performance - Biodiversity,11.1,"Within your reporting boundary, are there any geographical areas, business units or mining projects excluded from your disclosure?","CDP seeks to share comprehensive and representative biodiversity-related data. If companies need to exclude areas of their business from their disclosure, data users must be informed of the exclusions as this may affect their analysis.",Select one of the following options: · Yes · No,Boolean
11,Environmental Performance - Biodiversity,11.1.1,Please report your exclusions and describe their potential for biodiversity-related risk.,CDP seeks to share comprehensive and representative biodiversity-related data. Data users need to be informed of exclusions that may affect their analysis.,"Response options; Please complete the following table. You are able to add rows by using the ""Add Row"" button at the bottom of the table.",Quantitative Table
11,Environmental Performance - Biodiversity,11.2,What actions has your organization taken in the reporting year to progress your biodiversity-related commitments?,"This question enables organizations to demonstrate how they are achieving their vision and ambition for biodiversity through addressing the issues they have identified and committed to addressing. Your response to this question aligns with requirements of ""Stage 2: Ambitions"" in IUCN's Guidelines for planning and monitoring corporate biodiversity performance, which recommends that companies develop and deliver biodiversity goals and objectives.",Please complete the following table: *column/row appearance is dependent on selections in this or other questions.,Quantitative Table
11,Environmental Performance - Biodiversity,11.3,Does your organization use biodiversity indicators to monitor performance across its activities?,"Robust indicators are critical for a corporate-level assessment of biodiversity impact, by allowing the aggregation of data from different activities and geographies. This question allows an organization to demonstrate its use of indicators to track progress against its biodiversity goals and objectives and evaluate the success of its intervention/s. Your response to this question aligns with requirements of ""Stage 3: Indicators"" in IUCN's Guidelines for planning and monitoring corporate biodiversity performance, which recommends that companies collect, share and analyse biodiversity data that encourages learning and improvement.","Please complete the following table:

Does your organization use indicators to monitor biodiversity performance?;Indicators used to monitor biodiversity performance;
Select from: · Yes, we use indicators · No, we do not use indicators, but plan to within the next two years · No;Select all that apply:;
· State and benefit indicators · Pressure indicators · Response indicators · Other, please specify;",Quantitative Table
11,Environmental Performance - Biodiversity,11.4,Does your organization have activities located in or near to areas important for biodiversity in the reporting year?,Awareness of the proximity of your organization's activities to areas important for biodiversity demonstrates an understanding of the relationship between the two. This awareness allows organizations to mitigate the potential negative effects of their activities on areas important for biodiversity.,Please complete the following table:,Quantitative Table
11,Environmental Performance - Biodiversity,11.4.1,Provide details of your organization's activities in the reporting year located in or near to areas important for biodiversity.,Awareness of the proximity of your organization's activities to areas important for biodiversity demonstrates an understanding of the relationship between the two. Information on your activities' proximity to such areas provide insights to investors and other data users on potential risks. It also facilitates better understanding of what to expect from your organization in terms of commitments and actions related to this issue. This awareness allows organizations to mitigate potential negative effects of their activities on areas important for biodiversity.,"Please complete the following table. You are able to add rows by using the ""Add Row"" button at the bottom of the table.",Quantitative Table
11,Environmental Performance - Biodiversity,11.5,Can you disclose the mining project area and the area of land disturbed for each of your mining projects?,"Mining organizations usually own, lease or manage large tracts of land, including areas that are not disturbed by mining-related activities. While land disturbed by mining-related activities represents a useful proxy for biodiversity-related impacts, information about the total area of land involved in the project allows understanding of what this disturbance represents in relative terms. This question provides investors and other data users with insights into your responsibilities as a land manager and the challenges associated with the future rehabilitation of the land disturbed.","Please complete the following table:

TABLE_START
1;2;
Disclosing mining project area and area of land disturbed;Comment;
Select from: · Yes;Text field [maximum 2,400 characters];
· Partially;;
· No;;
TABLE_END",Quantitative Table
11,Environmental Performance - Biodiversity,11.5.1,Provide details on the mining project area and the area of land disturbed for each of your mining projects.,CDP is encouraging disclosure of asset-level data for land resources and land disturbed. Only project-level data provides the necessary granularity to relate the disclosed data to the environmental context within which the organization operates.,"Please complete the following table. You are able to add rows by using the ""Add Row"" button at the bottom of the table.",Quantitative Table
11,Environmental Performance - Biodiversity,11.6,Are there artisanal and small-scale mining (ASM) operations active in your mining project areas or in their area of influence?,"It is not unusual that large-scale mining projects come across artisanal and small-scale miners within their area of influence. Artisanal and small-scale mining (ASM) provides a source of livelihood for thousands of people but might also be associated with conflicts and environmental degradation, such as tropical deforestation. This data informs investors and other data users about potential challenges and risks you may be facing.",Select one of the following options: · Yes · No · Data not available,Boolean
11,Environmental Performance - Biodiversity,11.6.1,"Provide details on artisanal and small-scale mining operations active in your mining project areas or in their area of influence. Indicate the associated challenges, if there are any.","This question gathers details on artisanal and small-scale mining operations active in your mining project areas or in their area of influence, as well as the associated challenges. It is important that this information is disclosed at asset-level, as it is unlikely that all projects face this issue.","Please complete the following table. You are able to add rows by using the ""Add Row"" button at the bottom of the table.",Quantitative Table
11,Environmental Performance - Biodiversity,11.7,Do you adopt biodiversity action plans to manage your impacts on biodiversity?,"The number of mining organizations adopting Biodiversity Action Plans (BAPs) in sites with high biodiversity risk is increasing. Developing BAPs in such cases can be seen as good practice and it might also be needed to demonstrate compliance with lender standards/requirements. BAPs complement existing environmental management systems, focusing on the organization's biodiversity management strategy. Developing BAPs for high-risk sites provides an indication to investors and other data users that the organization is tackling its biodiversity risks.",Select one of the following options: · Yes · No,Boolean
11,Environmental Performance - Biodiversity,11.7.1,Describe your criteria for defining which sites are required to produce biodiversity action plans.,"As there is not a unique standard or guideline defining when Biodiversity Action Plans (BAPs) are required, organizations might adopt different criteria. This information provides clarity to investors and other data users on your criteria for when BAPs are required.","This is an open text question with a limit of 5,000 characters. Please note that when copying from another document to the disclosure platform, formatting is not retained.",Narrative
11,Environmental Performance - Biodiversity,11.8,Provide details on mining projects that are required to produce Biodiversity Action Plans.,"This question asks details about the Biodiversity Action Plans (BAPs) your organization has in place. The number of mining organizations adopting BAPs for sites with high biodiversity risk is increasing. Developing BAPs in such cases is seen as a good practice and it might also be needed to demonstrate compliance with lender standards. BAPs complement existing environmental management systems, focusing the organization's biodiversity management strategy. Developing BAPs for high-risk sites provides an indication to investors and other data users that the organization is actively dealing with biodiversity risks associated with the business.","Response options

Please complete the following table:

TABLE_START
1;2;3;4;5;
Number of mining projects required to produce a BAP;% of mining projects required to produce a BAP that have one in place;Format;Frequency BAPs are reviewed;Please explain;
Numerical field [enter a number from 0- 999,999,999,999];Numerical field [enter a number from 0-100];Select all that apply: · Stand-alone document · Part of general Environmental Management System · Other, please specify;Select all that apply: · Regularly · Eventually · Not reviewed;Text field [maximum 2,400 characters];
TABLE_END",Quantitative Table
11,Environmental Performance - Biodiversity,11.9,"Have any of your projects caused, or have the potential to cause, significant adverse impact(s) on biodiversity?","This question elicits information on whether your projects have caused or are expected to cause significant impacts on biodiversity. Large-scale mining projects have the potential to cause significant impacts on biodiversity, and these are not always avoidable. This information provides insights to investors and other data users on the primary challenges you face regarding biodiversity-related issues.",Please complete the following table,Quantitative Table
11,Environmental Performance - Biodiversity,11.9.1,"For your disclosed mining projects, provide details of the significant adverse impacts on biodiversity, with the respective response to the impact.","By disclosing significant biodiversity impacts you allow investors and other data users to better understand the biodiversity risks your organization faces, as well as the level of ambition of the response.","Please complete the following table. You can add rows by using the ""Add Row"" button at the bottom of the table.

TABLE_START
1;2;3;4;5;6;7;
Mining project ID;Type of impact;Impact;Description of the impact;Consequence;Likelihood;Describe response;
Select from: · Project 1-70;Select from: · Direct · Indirect · Cumulative;Select from: · Deforestation and/or forest degradation;Text field [maximum 2,400 characters];Select from: · Moderate · Serious · Extreme;Select from: · Almost certain · Likely;Text field [maximum 2,400 characters];
· Conversion and/or degradation of natural habitats (other than forests) · Negative impacts on legally or internationally recognized areas;· Catastrophic · Other, please specify;· Possible · Unlikely · Rare;;
· Fragmentation of ecosystems · Loss of rare and threatened species · Effects on sensitive or migratory species · Negative impacts on ecosystem service provision · Other, please specify;
TABLE_END",Quantitative Table
11,Environmental Performance - Biodiversity,11.10,"Are biodiversity issues integrated into any aspects of your long-term strategic business plan, and if so how?","This question allows organizations to explain if and how they have considered and acted upon biodiversity-related issues at a high level. This question is not asking simply about your organization's response to biodiversity-related issues. Investors and other data users are interested in forward-looking strategic innovations and financial decisions that have been driven by market opportunities, public policy objectives, and corporate responsibility commitments related to biodiversity.",Please complete the following table:,Quantitative Table
11,Environmental Performance - Biodiversity,11.11,Have you specified any measurable and time-bound targets related to your commitments to reduce or avoid impacts on biodiversity?,This question asks about specific targets on avoiding or reducing biodiversity-related impacts and risks. Effective implementation of policies and commitments requires specific targets to be set. Ambitious targets reflect how urgent biodiversity issues are being addressed by organizations. Information disclosed about your targets provides CDP data users with a way of tracking your progress towards sustainability. Organizations also benefit from setting targets by having clear indicators of their progress towards better biodiversity stewardship.,"Select one of the following options:
· Yes;
· No;",Boolean
11,Environmental Performance - Biodiversity,11.11.1,"Provide details of your targets related to your commitments to reduce or avoid impacts on biodiversity, and progress made.","This question asks about specific biodiversity-related targets. Effective implementation of policies and commitments requires specific, measurable and time-bound targets to be set. Ambitious targets reflect how urgent biodiversity issues are being addressed by organizations. Information disclosed about your targets provides CDP data users with a way of tracking progress towards sustainability. Organizations also benefit from setting specific and measurable targets by having clear indicators of their progress towards better biodiversity stewardship.","Please complete the following table. The table is displayed over several rows for readability. You can add rows by using the ""Add Row"" button at the bottom of the table",Quantitative Table
11,Environmental Performance - Biodiversity,11.12,Has your organization adopted avoidance and/or minimization as strategies to prevent or mitigate significant adverse impacts on biodiversity?,"Actions to mitigate impacts on biodiversity can be more effective and efficient if adopted at the early stages of the project. Later, mitigation measures are often more limited, costly and involve a higher degree of uncertainty about expected outcomes. Managing relevant impacts and risks by means of avoidance and minimization indicates to investor and other data users that your organization is aligned with sector best practices, as well as being more likely to prevent unforeseen risks.",Select one of the following options: · Yes; · No,Boolean
11,Environmental Performance - Biodiversity,11.12.1,Provide relevant company-specific examples of your implementation of avoidance and minimization actions to manage adverse impacts on biodiversity.,This question asks for relevant examples that provide evidence that significant biodiversity-related impacts and risks were managed by adopting avoidance and/or minimization actions.,"Please complete the following table. You can add rows by using the ""Add Row"" button at the bottom of the table.",Quantitative Table
11,Environmental Performance - Biodiversity,11.13,Have significant impacts on biodiversity been mitigated through restoration?,"Restoration of biodiversity features is an option for compensating impacts that could not be avoided or minimized. It is an important step for organizations to achieve their commitments regarding reducing their impact on biodiversity (e.g. 'No Net Loss' or 'Net Positive Impact'), and to manage regulatory and reputational risks. By indicating that you are taking action to reduce residual impacts, you provide an indication to investors and other stakeholders that your organization is adopting biodiversity management best practices.","Please complete the following table:

TABLE_START  
1;2;  
Have significant impacts on biodiversity been mitigated through restoration?;Comment;  
Select from: · Yes;Text field [maximum 2,400 characters];  
· Partially;  
· No · Data not available;;  
TABLE_END  ",Quantitative Table
11,Environmental Performance - Biodiversity,11.13.1,Provide details on restoration actions you have in place in your sites.,"By disclosing biodiversity restoration actions, you provide evidence to investors and other data users on your actions for implementing the mitigation hierarchy framework across your mining project(s).","Please complete the following table. You can add rows by using the ""Add Row"" button at the bottom of the table.

TABLE_START
1;2;3;4;5;6;7;
Mining project ID;Description of the impact being mitigated by restoration;Type of ecosystem restored;Total area restored to date (hectares);Total area to be restored (hectares);Target year;Describe restoration actions;
Select from: · Project 1-70;Text field [maximum 2,400 characters];Select from: · Forest ecosystems · Other ecosystems;Numerical field [enter a number from 0- 999,999,999,999 using a maximum of 2 decimal places];Numerical field [enter a number from 0- 999,999,999,999 using a maximum of 2 decimal places];Numerical field [enter a number with no decimal places];Text field [maximum 2,400 characters];
;· Data not available;
TABLE_END

[Add row]",Quantitative Table
11,Environmental Performance - Biodiversity,11.14,Have significant residual impacts of your projects been compensated through biodiversity offsets?,"Biodiversity offsetting is a mechanism to compensate impacts on biodiversity that could not be otherwise mitigated. Offsets are usually essential to achieve ""No Net Loss"" or ""Net Positive Impact"" commitments. Financial institutions or governmental regulation might also require biodiversity offsets to be implemented by your organization. By disclosing the biodiversity offset projects, organizations demonstrate to investors and other data users that commitments are taken seriously.","Please complete the following table:

1;2;
Have residual impacts been compensated through biodiversity offsets?;Comment;
Select from: · Yes;Text field [maximum 2,400 characters];
· Partially;
· No;;
· Data not available;;",Quantitative Table
11,Environmental Performance - Biodiversity,11.14.1,Provide details on the biodiversity offsets you have in place.,This question looks for evidence that your organization is adopting biodiversity offsetting.,"Please complete the following table. You can add rows by using the ""Add Row"" button at the bottom of the table.",Quantitative Table
11,Environmental Performance - Biodiversity,11.15,Is your organization implementing or supporting additional conservation actions?,"Some organizations have implemented Additional Conservation Actions (ACAs), which benefit biodiversity but do not aim at mitigating specific impacts. This question aims at providing a comprehensive picture of your organization's biodiversity-related actions. By implementing ACAs, your organization sends a signal to investors and other data users that it is going beyond regulatory compliance when dealing with biodiversity-related issues.","Please complete the following table

1;2;
Implementing or supporting additional conservation actions?;Comment;
Select from: · Yes;Text field [maximum 2,400 characters];
· No;
· Data not available;;",Quantitative Table
11,Environmental Performance - Biodiversity,11.15.1,Provide details on the main ACAs you are implementing or supporting.,This question asks for evidence that your organization is supporting or implementing ACAs.,"Please complete the following table. You can add rows by using the ""Add Row"" button at the bottom of the table.

TABLE_START
1;2;3;4;5;
Project title;Project theme;Country/Area;Location;Primary motivation;
Text field [maximum 500 characters];Select from:;Select from:;Select from:;Select from:;
· Forest conservation;[List of countries/areas];· In the area of influence of mining project · Outside the area of influence of mining project;· Voluntary · Lender;
· Protected areas;requirements;
· Threatened species;;· Legal requirements;
· Restoration (forests);;· Other, please specify;
· Restoration (other);;;
· Community;;
development;;
· Other, please;;
specify;;
TABLE_END",Quantitative Table
11,Environmental Performance - Biodiversity,11.16,Do your mining projects have closure plans in place?,"Planning for mine closure helps prevent negative legacies and allows benefits to biodiversity to be maximized. By disclosing details on your closure plans, you provide evidence to investors and other data users that the impacts and risks associated with mine closure have been taken into consideration.","Please complete the following table:

1;2;
Are there closure plans in place?;Comment;
Select one of the following options: · Yes;Text field [maximum 2,400 characters];
· Partially (not all projects);;
· No;;",Quantitative Table
11,Environmental Performance - Biodiversity,11.16.1,Please provide details on mines with closure plans.,This question asks details about mine closure plans your organization has in place. This provides insights to investors and other data users on whether you are working towards the reduction of potential environmental liabilities of your mining project.,"Response options; Please complete the following table: 

TABLE_START  
1;2;3;4;5;  
% of mines with closure plans;% of closure plans that take biodiversity aspects into consideration;Is there a financial provision for mine closure expenditure?;Frequency closure plans are reviewed;Please explain;  
Numerical field [enter a number from 0-100];Numerical field [enter a number from 0-100];Select from: · Yes, for all mines · Yes, for some mines · No;Select all that apply: · Regularly (all projects) · Regularly (some projects) · Occasionally (all projects);Text field [maximum 2,400 characters];  
· Occasionally (some projects);  
· Not reviewed (all projects);  
TABLE_END  ",Quantitative Table
11,Environmental Performance - Biodiversity,11.17,Can you disclose the area rehabilitated (in total and in the reporting year) for each of your mining projects?,"Rehabilitation is a relevant environmental performance indicator in the case of mining projects. Well-planned and managed rehabilitation might reduce and/or avoid negative legacies, high compliance costs and regulatory risks.",Please complete the following table:,Quantitative Table
11,Environmental Performance - Biodiversity,11.17.1,"Provide details on the area rehabilitated (total/reporting year) for each of your mining projects, including post-mining land use.",CDP encourages disclosure of project-level data on rehabilitation. Only project-level data allows a robust assessment of the environmental context within which the organization operates. Information disclosed here will allow investors and other data users to understand your approach to rehabilitation throughout your mining projects and regions your organization operates.,"Please complete the following table. You can add rows by using the ""Add Row"" button at the bottom of the table.

TABLE_START
1;2;3;4;
Mining project ID;Total area rehabilitated (hectares);Area rehabilitated in the reporting year (hectares);Describe post-mining land use;
Select from: · Project 1-70;Numerical field [enter a number from 0- 999,999,999,999 using a maximum of 2 decimal places];Numerical field [enter a number from 0- 999,999,999,999 using a maximum of 2 decimal places];Text field [maximum 2,400 characters];
TABLE_END",Quantitative Table
11,Environmental Performance - Biodiversity,11.18,Do you collaborate or engage in partnerships with non-governmental organizations to promote the implementation of your biodiversity-related goals and commitments?,This question asks information on whether your organization is partnering with non-governmental organizations (NGOs) to pursue your biodiversity goals and commitments. Involvement in such partnerships provides evidence to investors and other data users that your organization is undertaking a collaborative approach to ensure best practices around biodiversity-related issues. Organizations usually benefit from shared knowledge from NGOs regarding biodiversity-related issues.,"Please complete the following table:

1;2;
Collaborating or partnering with NGOs;Comment;
Select from:;Text field [maximum 2,400 characters];
· Yes;
. No, but plan to get involved in the next 2 years;;
· No;;",Quantitative Table
11,Environmental Performance - Biodiversity,11.18.1,Provide details on main collaborations and/or partnerships with non-governmental organizations that were active during the reporting year.,This question asks details of the main partnerships with non-governmental organizations (NGOs) your organization had in place during the reporting period. Strong and long-term partnerships with environmental NGOs provide evidence to investors and other data users that your organization is really committed to managing biodiversity-related risks.,"Please complete the following table. You can add rows by using the ""Add Row"" button at the bottom of the table.",Quantitative Table
11,Environmental Performance - Biodiversity,11.19,Do you engage with artisanal and small-scale miners operating within your mining project areas or in their area of influence?,"This question asks about actions your organization is undertaking to manage risks associated with artisanal and small-scale miners within your mining project areas or in the area of influence of your mining projects. Developing effective ways of engaging with artisanal and small-scale mining (ASM) helps your mining projects to keep their social license to operate, e.g., by preventing conflicts or contributing to reducing environmental harm. This will provide insights to investors and other data users on your risk management approach for ASM.",Select one of the following options: · Yes · No,Boolean
11,Environmental Performance - Biodiversity,11.19.1,Describe your engagement approach to artisanal and small-scale mining (ASM) during the reporting year.,This question asks details on the main engagement activities with artisanal and small-scale miners your organization had in place during the reporting period.,"Please complete the following table. You can add rows by using the ""Add Row"" button at the bottom of the table",Quantitative Table
